model,accuracy,precision,recall,f1
svm_linear,0.6871666666666667,0.6812771839913686,0.6844155404261084,0.6828427562434524
logreg,0.6871833333333334,0.6813368406852827,0.684313924736646,0.6828221377270807
tree,0.6789166666666666,0.6774494879601439,0.6632456051214307,0.6702723056121314
