mean_pred_strict,frac_pos_strict,mean_pred_leaky,frac_pos_leaky
0.0822796418356263,0.059602649006622516,0.0785399485800944,0.08943089430894309
0.15860338961315307,0.13543737574552683,0.15606864887780444,0.14975938402309913
0.2527097381439142,0.2278447476486952,0.25181849688500535,0.24457268480351746
0.3516888499818461,0.343234683848422,0.35053102462057084,0.3502852287899017
0.4502182016787405,0.44093925472179685,0.4496385786760649,0.438592429679361
0.5498643892324657,0.5600605143721634,0.5496797174040602,0.5410531012940651
0.6484101117237144,0.6617751479289941,0.6489317151670974,0.6537486417964505
0.7473953079820348,0.755629691409508,0.7467660906012872,0.7367201976528721
0.8439899282680834,0.8737233054781801,0.8476778364508577,0.8599283724631914
0.9124636421536968,0.9322033898305084,0.9173231051938316,0.9213973799126638
