variant,k,hit_at_k_all,precision_at_k_all,hit_at_k_active,precision_at_k_active,users_all,users_active,growth_band,cutoff_submission_id
strict,1,0.004004004004004004,0.004004004004004004,0.004004004004004004,0.004004004004004004,999,999,"[0.4,0.7]",240000
strict,3,0.014014014014014014,0.004671338004671338,0.014014014014014014,0.004671338004671338,999,999,"[0.4,0.7]",240000
strict,5,0.035035035035035036,0.007407407407407408,0.035035035035035036,0.007407407407407408,999,999,"[0.4,0.7]",240000
strict,10,0.08208208208208208,0.01001001001001001,0.08208208208208208,0.01001001001001001,999,999,"[0.4,0.7]",240000
leaky,1,0.012012012012012012,0.012012012012012012,0.012012012012012012,0.012012012012012012,999,999,"[0.4,0.7]",240000
leaky,3,0.036036036036036036,0.013013013013013013,0.036036036036036036,0.013013013013013013,999,999,"[0.4,0.7]",240000
leaky,5,0.05305305305305305,0.011811811811811812,0.05305305305305305,0.011811811811811812,999,999,"[0.4,0.7]",240000
leaky,10,0.0890890890890891,0.010510510510510513,0.0890890890890891,0.010510510510510513,999,999,"[0.4,0.7]",240000
