variant,roc_auc,ap,brier,reliability,resolution,uncertainty
strict,0.7497045539193875,0.7367441083283872,0.20317645791734965,0.0002575129420911734,0.045895225263597406,0.2499367975
leaky,0.7542270211332126,0.7415882240210931,0.20127432906563464,6.737574712386206e-05,0.047983302480003744,0.2499367975
