verdict_id,name,desc
1,WT,Waiting
2,JG,Judging
3,AC,Accepted
4,WA,Wrong Answer
5,CE,Compilation Error
6,REG,Regular
7,MLE,Memory Limit Exceeded
8,REP,Runtime Error
9,PE,Presentation Error
10,TLE,Time Limit Exceeded
11,IFNR,Input File Not Ready
12,OFNR,Output File Not Ready
13,OE,Other Error
